StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Mturk ID,Gender,Age,Education,Ethnicity,English?,1.A,1.A,1.A,1.A,1.B,1.B,1.B,1.B,1.C,1.C,1.C,1.C,1.D,1.D,1.D,1.D,1.E,1.E,1.E,1.E,2.A,2.A,2.A,2.A,2.B,2.B,2.B,2.B,2.C,2.C,2.C,2.C,2.D,2.D,2.D,2.D,2.E,2.E,2.E,2.E,3.A,3.A,3.A,3.A,3.B,3.B,3.B,3.B,3.C,3.C,3.C,3.C,3.D,3.D,3.D,3.D,3.E,3.E,3.E,3.E,4.A,4.A,4.A,4.A,4.B,4.B,4.B,4.B,4.C,4.C,4.C,4.C,4.D,4.D,4.D,4.D,4.E,4.E,4.E,4.E,5.A,5.A,5.A,5.A,5.B,5.B,5.B,5.B,5.C,5.C,5.C,5.C,5.D,5.D,5.D,5.D,5.E,5.E,5.E,5.E,problems,score,survey_code
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter your MTurk worker ID:,Gender,Age,Highest Level of Education Completed,Race/ethnicity,Is English your first language?,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Please pick which of the following is the type of the Alien above:,Did you experience any confusion or technical problems with this questionnaire? (Your answer will not affect your HIT acceptance.),Score,mTurkCodeUV
2018-02-14 00:23:02,2018-02-14 00:34:11,IP Address,122.164.125.232,100,669,True,2018-02-14 00:34:13,R_2PB7vOWZEaMInmX,,,,,"13,083297729492","80,283294677734",anonymous,EN,AXQWKUJF7SQXP,Male,25,Bachelor's Degree,American Indian or Alaska Native,Yes,A,A,B,B,B,A,C,B,D,B,D,D,B,D,B,D,E,E,E,E,A,A,A,D,B,A,B,B,D,E,B,B,D,C,D,D,E,E,E,E,A,A,A,A,B,C,B,B,C,D,D,D,C,B,C,B,E,D,E,E,A,A,A,A,B,C,B,B,C,C,C,D,C,D,D,D,E,E,E,E,A,A,A,A,B,B,B,B,C,D,C,E,D,D,D,D,E,E,E,E,yes sometimes,69,785999
2018-02-14 00:23:46,2018-02-14 00:34:46,IP Address,144.48.49.92,100,660,True,2018-02-14 00:34:48,R_27JNMJRSITk1qsa,,,,,"9,9333038330078","78,11669921875",anonymous,EN,A2BACJE00ZUDXS,Male,26,Bachelor's Degree,Asian,No,E,A,E,B,D,B,C,C,D,D,B,C,A,D,A,D,E,E,D,E,D,E,E,A,B,B,B,B,C,C,C,C,D,D,D,D,C,E,C,E,E,A,A,A,B,B,B,B,C,C,C,B,D,D,D,D,E,E,E,E,A,A,A,A,B,B,B,B,C,C,C,C,D,D,D,D,E,E,E,E,A,A,A,A,B,B,B,B,C,C,C,C,D,D,D,D,E,E,E,E,NO,81,785999
2018-02-14 00:24:07,2018-02-14 00:35:44,IP Address,103.103.90.18,100,696,True,2018-02-14 00:35:45,R_2rvx4Po8lrkk3AR,,,,,20,77,anonymous,EN,A1BANTV8HONS2C,Male,26,Bachelor's Degree,Asian,No,A,A,A,A,B,B,B,B,C,C,A,E,B,D,B,D,E,E,C,E,A,A,A,A,B,B,B,B,C,E,C,D,D,D,D,D,E,E,A,E,A,A,A,A,B,B,B,B,C,C,C,C,D,D,D,D,E,E,E,E,A,A,A,A,B,B,B,B,C,C,C,C,D,D,D,D,E,C,E,E,A,A,A,A,B,B,B,B,C,C,C,C,D,D,D,D,E,E,E,E,NO,91,785999
2018-02-14 00:24:07,2018-02-14 00:36:24,IP Address,122.164.17.253,100,737,True,2018-02-14 00:36:26,R_vuyer9hkvTmDMU9,,,,,"10,804992675781","78,685607910156",anonymous,EN,A18EWG6CNKAO2J,Male,27,Some 4-year College,Asian,No,A,A,A,A,B,C,B,B,B,C,C,C,D,D,D,D,B,B,C,B,A,A,A,A,B,B,B,B,B,D,C,E,D,D,D,D,C,C,C,C,A,A,A,A,B,B,B,B,C,E,E,E,D,D,D,D,C,C,C,C,A,A,A,A,B,B,B,B,E,C,E,C,D,D,D,D,C,C,E,C,A,A,A,A,B,B,B,B,C,E,C,C,D,D,D,D,C,E,E,C,NICE,72,785999
2018-02-14 00:25:16,2018-02-14 00:37:11,IP Address,122.164.205.32,100,715,True,2018-02-14 00:37:14,R_3KOztTX7jdM585T,,,,,"9,9667053222656","76,233306884766",anonymous,EN,A3PT15XRN1X8VE,Female,25,Bachelor's Degree,American Indian or Alaska Native,Yes,C,C,A,B,A,A,D,D,B,A,B,B,B,D,E,C,C,A,E,D,D,D,A,E,D,B,C,B,B,B,D,C,D,C,A,D,A,E,E,E,D,D,C,A,C,B,D,B,C,B,D,A,C,D,B,D,E,E,E,E,A,C,C,C,B,C,A,B,C,D,D,C,C,C,D,D,E,E,B,E,D,D,D,D,B,C,C,D,D,A,C,D,C,C,B,C,E,E,E,E,YES OVER CONFUSION,38,785999
2018-02-14 00:24:30,2018-02-14 00:38:04,IP Address,103.215.236.221,100,814,True,2018-02-14 00:38:06,R_5Bf0YdxvffV6EoN,,,,,"9,9333038330078","78,11669921875",anonymous,EN,A1VOFYYXKZWG7W,Male,27,Bachelor's Degree,Asian,No,A,A,A,A,B,B,B,B,C,C,C,C,D,D,B,C,D,D,A,C,A,A,A,A,B,B,B,B,C,D,E,C,D,D,D,D,C,E,E,C,A,A,A,A,B,B,B,B,E,E,C,C,D,D,E,D,C,C,E,E,A,A,A,A,B,B,B,B,C,C,C,C,D,D,D,D,E,E,E,C,A,A,A,A,B,B,B,B,C,C,C,E,D,D,D,D,E,E,E,E,NO,83,785999
2018-02-14 00:26:56,2018-02-14 00:40:08,IP Address,146.196.33.232,100,792,True,2018-02-14 00:40:09,R_3mh4HpA9qvlpt4P,,,,,"28,600006103516","77,200012207031",anonymous,EN,A1L4HASH49EKFW,Male,27,Bachelor's Degree,"White,Asian",Yes,A,B,A,D,B,D,B,B,B,C,C,D,D,D,C,A,E,D,D,E,A,A,A,A,B,B,B,B,D,C,C,B,D,A,D,C,E,E,E,E,A,A,A,A,B,B,B,B,C,C,C,C,D,D,D,D,E,E,E,E,A,A,A,A,B,B,B,B,C,C,C,C,D,D,D,D,E,E,E,E,A,A,A,A,B,B,B,B,C,C,C,C,D,D,D,D,E,E,E,E,I did not encounter any problem while filling this questionnaire.,87,785999
2018-02-14 00:35:24,2018-02-14 00:44:32,IP Address,122.164.205.12,100,547,True,2018-02-14 00:44:33,R_29bvPcHwE9QTDSU,,,,,"9,9667053222656","76,233306884766",anonymous,EN,A2GTY8GLAYN9BU,Male,21,Some 4-year College,White,Yes,C,A,B,A,A,C,C,A,C,C,B,C,D,B,C,B,E,B,B,E,D,A,D,A,B,A,B,D,D,B,A,C,D,D,D,D,E,D,E,E,B,C,A,A,B,B,B,B,C,E,C,E,D,D,D,D,E,A,E,C,A,D,A,A,B,B,B,B,C,C,C,C,D,D,D,D,E,E,E,E,A,A,A,A,B,B,B,B,C,C,C,C,D,D,D,D,E,E,E,C,GOOD,72,785999
2018-02-14 00:33:18,2018-02-14 00:46:55,IP Address,103.25.44.2,100,817,True,2018-02-14 00:46:56,R_2E3JR17uHGaa0ab,,,,,"11,233306884766","78,166687011719",anonymous,EN,A1GKUAKO01ONT7,Female,22,Bachelor's Degree,Asian,Yes,A,E,D,B,B,C,C,B,B,B,C,E,D,E,D,A,B,D,C,C,A,A,B,D,B,D,B,D,C,C,D,E,D,D,B,D,E,E,D,E,D,E,A,A,C,B,B,B,D,D,B,D,C,B,E,E,E,D,B,C,A,E,D,A,C,D,B,A,A,A,B,D,C,D,D,E,C,B,D,B,D,B,E,D,A,B,C,B,E,D,D,D,B,D,B,A,C,C,D,C,VERY INTERESTING,32,785999
