"","HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Answer.surveycode","Approve","Reject"
"1","367O8HRHKGMLV0ZULYSOHGIIPHVS42","3PDAEG1VSK32VN4HI0BEMPZC0YF5U9","Investigating character interactions","Here, we ask you to view images of characters and answer questions about them.","survey, demographics","$0.20","Wed Feb 14 22:27:43 PST 2018",50,"BatchId:3116154;OriginalHitTemplateId:920937340;",3600,259200,"Wed Feb 21 22:27:43 PST 2018",NA,NA,"320DUZ38G80AUX7HJ7QCNOKIBTMJG9","AJRCRDPKD4TL4","Submitted","Wed Feb 14 22:44:08 PST 2018","Wed Feb 14 23:04:09 PST 2018","Sat Feb 17 23:04:09 PST 2018",NA,NA,NA,1201,"0% (0/0)","0% (0/0)","0% (0/0)",785999,"","X"
"2","367O8HRHKGMLV0ZULYSOHGIIPHVS42","3PDAEG1VSK32VN4HI0BEMPZC0YF5U9","Investigating character interactions","Here, we ask you to view images of characters and answer questions about them.","survey, demographics","$0.20","Wed Feb 14 22:27:43 PST 2018",50,"BatchId:3116154;OriginalHitTemplateId:920937340;",3600,259200,"Wed Feb 21 22:27:43 PST 2018",NA,NA,"32N49TQG3HWIB1U8EWCLUQK98LFAV8","A39UN3PEIRSPCG","Submitted","Wed Feb 14 22:29:17 PST 2018","Wed Feb 14 23:04:35 PST 2018","Sat Feb 17 23:04:35 PST 2018",NA,NA,NA,2118,"100% (1/1)","100% (1/1)","0% (0/0)",785999,"X",""
"3","367O8HRHKGMLV0ZULYSOHGIIPHVS42","3PDAEG1VSK32VN4HI0BEMPZC0YF5U9","Investigating character interactions","Here, we ask you to view images of characters and answer questions about them.","survey, demographics","$0.20","Wed Feb 14 22:27:43 PST 2018",50,"BatchId:3116154;OriginalHitTemplateId:920937340;",3600,259200,"Wed Feb 21 22:27:43 PST 2018",NA,NA,"333U7HK6IAT7IDXQHHP4H3HLY16DJT","A2M5YIOR0MJUSA","Submitted","Wed Feb 14 22:42:10 PST 2018","Wed Feb 14 22:56:24 PST 2018","Sat Feb 17 22:56:24 PST 2018",NA,NA,NA,854,"100% (2/2)","100% (1/1)","100% (1/1)",785999,"X",""
"4","367O8HRHKGMLV0ZULYSOHGIIPHVS42","3PDAEG1VSK32VN4HI0BEMPZC0YF5U9","Investigating character interactions","Here, we ask you to view images of characters and answer questions about them.","survey, demographics","$0.20","Wed Feb 14 22:27:43 PST 2018",50,"BatchId:3116154;OriginalHitTemplateId:920937340;",3600,259200,"Wed Feb 21 22:27:43 PST 2018",NA,NA,"33LK57MYLUJ3KHLCWTNF0WRBI2SSZM","AY45B0YHI4TUP","Submitted","Wed Feb 14 22:31:45 PST 2018","Wed Feb 14 22:48:59 PST 2018","Sat Feb 17 22:48:59 PST 2018",NA,NA,NA,1034,"100% (1/1)","0% (0/0)","0% (0/0)",785999,"X",""
"5","367O8HRHKGMLV0ZULYSOHGIIPHVS42","3PDAEG1VSK32VN4HI0BEMPZC0YF5U9","Investigating character interactions","Here, we ask you to view images of characters and answer questions about them.","survey, demographics","$0.20","Wed Feb 14 22:27:43 PST 2018",50,"BatchId:3116154;OriginalHitTemplateId:920937340;",3600,259200,"Wed Feb 21 22:27:43 PST 2018",NA,NA,"33SA9F9TRY8YG3BPKBJ3CBTE09FWEZ","A2O9IUW2YJTCEV","Submitted","Wed Feb 14 22:35:08 PST 2018","Wed Feb 14 22:46:43 PST 2018","Sat Feb 17 22:46:43 PST 2018",NA,NA,NA,695,"0% (0/0)","0% (0/0)","0% (0/0)",785999,"X",""
"6","367O8HRHKGMLV0ZULYSOHGIIPHVS42","3PDAEG1VSK32VN4HI0BEMPZC0YF5U9","Investigating character interactions","Here, we ask you to view images of characters and answer questions about them.","survey, demographics","$0.20","Wed Feb 14 22:27:43 PST 2018",50,"BatchId:3116154;OriginalHitTemplateId:920937340;",3600,259200,"Wed Feb 21 22:27:43 PST 2018",NA,NA,"3483FV8BEFX8R8K309BYCGLCF4X263","A2H9COVN7HMNLL","Submitted","Wed Feb 14 22:38:16 PST 2018","Wed Feb 14 22:48:02 PST 2018","Sat Feb 17 22:48:02 PST 2018",NA,NA,NA,586,"100% (2/2)","100% (2/2)","100% (2/2)",785999,"X",""
"7","367O8HRHKGMLV0ZULYSOHGIIPHVS42","3PDAEG1VSK32VN4HI0BEMPZC0YF5U9","Investigating character interactions","Here, we ask you to view images of characters and answer questions about them.","survey, demographics","$0.20","Wed Feb 14 22:27:43 PST 2018",50,"BatchId:3116154;OriginalHitTemplateId:920937340;",3600,259200,"Wed Feb 21 22:27:43 PST 2018",NA,NA,"354P56DE9LHK07F6DYVW9CYC89G7SA","A2QG1N2LFV0VXW","Submitted","Wed Feb 14 22:39:57 PST 2018","Wed Feb 14 22:52:20 PST 2018","Sat Feb 17 22:52:20 PST 2018",NA,NA,NA,743,"0% (0/0)","0% (0/0)","0% (0/0)",785999,"","X"
"8","367O8HRHKGMLV0ZULYSOHGIIPHVS42","3PDAEG1VSK32VN4HI0BEMPZC0YF5U9","Investigating character interactions","Here, we ask you to view images of characters and answer questions about them.","survey, demographics","$0.20","Wed Feb 14 22:27:43 PST 2018",50,"BatchId:3116154;OriginalHitTemplateId:920937340;",3600,259200,"Wed Feb 21 22:27:43 PST 2018",NA,NA,"35LDD5557BI5XR9LCVOJ184SM4YKMH","A2NL0CEFLI1YP2","Submitted","Wed Feb 14 22:47:20 PST 2018","Wed Feb 14 23:29:59 PST 2018","Sat Feb 17 23:29:59 PST 2018",NA,NA,NA,2559,"100% (1/1)","100% (1/1)","0% (0/0)",785999,"X",""
"9","367O8HRHKGMLV0ZULYSOHGIIPHVS42","3PDAEG1VSK32VN4HI0BEMPZC0YF5U9","Investigating character interactions","Here, we ask you to view images of characters and answer questions about them.","survey, demographics","$0.20","Wed Feb 14 22:27:43 PST 2018",50,"BatchId:3116154;OriginalHitTemplateId:920937340;",3600,259200,"Wed Feb 21 22:27:43 PST 2018",NA,NA,"36W0OB37HXSEU87WLZBGWIK99RBHZQ","A2RIOB3PTFCQAO","Submitted","Wed Feb 14 22:28:10 PST 2018","Wed Feb 14 22:57:48 PST 2018","Sat Feb 17 22:57:48 PST 2018",NA,NA,NA,1778,"0% (0/0)","0% (0/0)","0% (0/0)",785999,"X",""
"10","367O8HRHKGMLV0ZULYSOHGIIPHVS42","3PDAEG1VSK32VN4HI0BEMPZC0YF5U9","Investigating character interactions","Here, we ask you to view images of characters and answer questions about them.","survey, demographics","$0.20","Wed Feb 14 22:27:43 PST 2018",50,"BatchId:3116154;OriginalHitTemplateId:920937340;",3600,259200,"Wed Feb 21 22:27:43 PST 2018",NA,NA,"38BQUHLA9XEONIU0ANGC8PL1698OM5","A22BVC4RFB2R1A","Submitted","Wed Feb 14 22:47:50 PST 2018","Wed Feb 14 23:12:51 PST 2018","Sat Feb 17 23:12:51 PST 2018",NA,NA,NA,1501,"0% (0/0)","0% (0/0)","0% (0/0)",785999,"X",""
