"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Answer.surveycode","Approve","Reject"
"3DWGDA5POFIKVTJFSBERU5VMC1G1V4","3PDAEG1VSK32VN4HI0BEMPZC0YF5U9","Investigating character interactions","Here, we ask you to view images of characters and answer questions about them.","survey, demographics","$0.20","Wed Feb 14 22:28:13 PST 2018","50","BatchId:3116155;OriginalHitTemplateId:920937340;","3600","259200","Wed Feb 21 22:28:13 PST 2018","","","323Q6SJS8JU8PRGWKNH9TQ4RXMIFH1","A2QG1N2LFV0VXW","Submitted","Wed Feb 14 22:39:41 PST 2018","Wed Feb 14 22:39:56 PST 2018","Sat Feb 17 22:39:56 PST 2018","","","","15","0% (0/0)","0% (0/0)","0% (0/0)","785999"
"3DWGDA5POFIKVTJFSBERU5VMC1G1V4","3PDAEG1VSK32VN4HI0BEMPZC0YF5U9","Investigating character interactions","Here, we ask you to view images of characters and answer questions about them.","survey, demographics","$0.20","Wed Feb 14 22:28:13 PST 2018","50","BatchId:3116155;OriginalHitTemplateId:920937340;","3600","259200","Wed Feb 21 22:28:13 PST 2018","","","3TU5ZICBREFCN55CVZYXSCF6150Q8Q","AXQWKUJF7SQXP","Submitted","Wed Feb 14 22:30:58 PST 2018","Wed Feb 14 22:39:55 PST 2018","Sat Feb 17 22:39:55 PST 2018","","","","537","100% (5/5)","100% (2/2)","100% (2/2)","785999"
"3DWGDA5POFIKVTJFSBERU5VMC1G1V4","3PDAEG1VSK32VN4HI0BEMPZC0YF5U9","Investigating character interactions","Here, we ask you to view images of characters and answer questions about them.","survey, demographics","$0.20","Wed Feb 14 22:28:13 PST 2018","50","BatchId:3116155;OriginalHitTemplateId:920937340;","3600","259200","Wed Feb 21 22:28:13 PST 2018","","","38F71OA9GUAUH5H7BKXMLVCNE8GFM9","A2VUGFYZSVEUM","Submitted","Wed Feb 14 22:29:26 PST 2018","Wed Feb 14 22:41:19 PST 2018","Sat Feb 17 22:41:19 PST 2018","","","","713","100% (2/2)","0% (0/0)","0% (0/0)","785999"
"3DWGDA5POFIKVTJFSBERU5VMC1G1V4","3PDAEG1VSK32VN4HI0BEMPZC0YF5U9","Investigating character interactions","Here, we ask you to view images of characters and answer questions about them.","survey, demographics","$0.20","Wed Feb 14 22:28:13 PST 2018","50","BatchId:3116155;OriginalHitTemplateId:920937340;","3600","259200","Wed Feb 21 22:28:13 PST 2018","","","3YT88D1N09C4B51B6DJ459VMMDG3KJ","A7HO8U70MUTUG","Submitted","Wed Feb 14 22:28:54 PST 2018","Wed Feb 14 22:42:46 PST 2018","Sat Feb 17 22:42:46 PST 2018","","","","832","0% (0/0)","0% (0/0)","0% (0/0)","785999"
"3DWGDA5POFIKVTJFSBERU5VMC1G1V4","3PDAEG1VSK32VN4HI0BEMPZC0YF5U9","Investigating character interactions","Here, we ask you to view images of characters and answer questions about them.","survey, demographics","$0.20","Wed Feb 14 22:28:13 PST 2018","50","BatchId:3116155;OriginalHitTemplateId:920937340;","3600","259200","Wed Feb 21 22:28:13 PST 2018","","","3ND9UOO81LGCM9LH1X67P6JY96GLWB","AMC42JMQA8A5U","Submitted","Wed Feb 14 22:31:25 PST 2018","Wed Feb 14 22:43:38 PST 2018","Sat Feb 17 22:43:38 PST 2018","","","","733","100% (2/2)","100% (1/1)","100% (1/1)","785999"
"3DWGDA5POFIKVTJFSBERU5VMC1G1V4","3PDAEG1VSK32VN4HI0BEMPZC0YF5U9","Investigating character interactions","Here, we ask you to view images of characters and answer questions about them.","survey, demographics","$0.20","Wed Feb 14 22:28:13 PST 2018","50","BatchId:3116155;OriginalHitTemplateId:920937340;","3600","259200","Wed Feb 21 22:28:13 PST 2018","","","3018Q3ZVOJ4QIUDR5C7BTTV6NF2RAW","A1IM8G6UNAGQ7S","Submitted","Wed Feb 14 22:33:59 PST 2018","Wed Feb 14 22:46:14 PST 2018","Sat Feb 17 22:46:14 PST 2018","","","","735","100% (4/4)","0% (0/0)","0% (0/0)","785999"
"3DWGDA5POFIKVTJFSBERU5VMC1G1V4","3PDAEG1VSK32VN4HI0BEMPZC0YF5U9","Investigating character interactions","Here, we ask you to view images of characters and answer questions about them.","survey, demographics","$0.20","Wed Feb 14 22:28:13 PST 2018","50","BatchId:3116155;OriginalHitTemplateId:920937340;","3600","259200","Wed Feb 21 22:28:13 PST 2018","","","3GM6G9ZBKOB40AZ8642B2ZRO5HOMTO","A3PT15XRN1X8VE","Submitted","Wed Feb 14 22:34:15 PST 2018","Wed Feb 14 22:46:32 PST 2018","Sat Feb 17 22:46:32 PST 2018","","","","737","100% (4/4)","100% (3/3)","100% (2/2)","785999"
"3DWGDA5POFIKVTJFSBERU5VMC1G1V4","3PDAEG1VSK32VN4HI0BEMPZC0YF5U9","Investigating character interactions","Here, we ask you to view images of characters and answer questions about them.","survey, demographics","$0.20","Wed Feb 14 22:28:13 PST 2018","50","BatchId:3116155;OriginalHitTemplateId:920937340;","3600","259200","Wed Feb 21 22:28:13 PST 2018","","","3YHH42UU5CTJEJKW8QDMIBAU8110LO","A1TQ7UQSSQP7BD","Submitted","Wed Feb 14 22:29:28 PST 2018","Wed Feb 14 22:47:30 PST 2018","Sat Feb 17 22:47:30 PST 2018","","","","1082","100% (1/1)","0% (0/0)","0% (0/0)","785999"
"3DWGDA5POFIKVTJFSBERU5VMC1G1V4","3PDAEG1VSK32VN4HI0BEMPZC0YF5U9","Investigating character interactions","Here, we ask you to view images of characters and answer questions about them.","survey, demographics","$0.20","Wed Feb 14 22:28:13 PST 2018","50","BatchId:3116155;OriginalHitTemplateId:920937340;","3600","259200","Wed Feb 21 22:28:13 PST 2018","","","3PZDLQMM0UZX7PT4A0O1YGDMBQ7C24","A2GTY8GLAYN9BU","Submitted","Wed Feb 14 22:35:24 PST 2018","Wed Feb 14 22:48:19 PST 2018","Sat Feb 17 22:48:19 PST 2018","","","","775","67% (2/3)","100% (2/2)","100% (2/2)","785999"
"3DWGDA5POFIKVTJFSBERU5VMC1G1V4","3PDAEG1VSK32VN4HI0BEMPZC0YF5U9","Investigating character interactions","Here, we ask you to view images of characters and answer questions about them.","survey, demographics","$0.20","Wed Feb 14 22:28:13 PST 2018","50","BatchId:3116155;OriginalHitTemplateId:920937340;","3600","259200","Wed Feb 21 22:28:13 PST 2018","","","3T111IHZ5F4CDB3MD6TBXYKMHXKR9H","A2ZB24AEN6N7Y3","Submitted","Wed Feb 14 22:33:58 PST 2018","Wed Feb 14 22:48:36 PST 2018","Sat Feb 17 22:48:36 PST 2018","","","","878","100% (3/3)","100% (2/2)","100% (2/2)","785999"
